name,location,startDate,endDate,cfpDeadline,cfpUrl,conferenceWebsite,description,notes
PTC,"Honolulu, HI",2026-01-18,,,,https://www.ptc.org/ptc26,"Not really since I don't like PTC software, but I'll suck it up in order to go to Hawaii",For PTC (thingworx)
Distributech,"San Diego, CA",2026-02-02,,,,https://www.distributech.com/,"Maybe... If we're going to push into utilities this is a must, but I think we would need a lot of work to focus our messaging on them",Utilities (especially power distribution) focused
The Pragmatic Summit,San Francisco,2026-02-11,,,,https://www.pragmaticsummit.com/,,
ProveIt!,"Dallas, Tx",2026-02-16,,,,https://www.proveitconference.com/,"It's a great forum for tools that have dramatic performance stats (like us), and attracts the kind of companies that are looking for 'real' performance.",
CME Smart Manufacturing,"Surrey, BC",2026-03-05,,,,https://cme-mec.ca/connection/2026-cme-smart-manufacturing-conference/,"Not really, because it's too Canada-focused, but I added it as an excuse to go to BC",
Gartner Data & Analytics Summit,"Orlando, FL",2026-03-09,,,https://www.gartner.com/en/contact/conference#exhibitor-contacts,https://www.gartner.com/en/conferences/na/data-analytics-us,,
NVIDIA GTC AI Conference,"San Jose, CA",2026-03-16,,,,https://www.nvidia.com/gtc/?ncid=pa-srch-goog-156-prsp-rsa-en-us-1-l2&_bt=788438092204&_bk=ai%20conferences%202026&_bm=p&_bn=g&_bg=195900994011&gad_source=1&gad_campaignid=23370029440&gbraid=0AAAAAD4XAoHh7K6fWvtBLJy8yDRM02VZ1&gclid=Cj0KCQiApfjKBhC0ARIsAMiR_Ivnmxp-zZmHLI20hsgQQr7ZWVS60MR4MgXu6UaZlLxUU5PJF98fipIaAjllEALw_wcB,,"No prospectus or CFP URL, need to email them for more info"
Scadafest,"Orlando, FL",2026-03-23,,,,https://scadafest.com/,"No, this is VTScada focused and we're not a great fit",For VTScada
Entelec,"Galveston, TX",2026-04-06,,,,https://www.entelec.org/expo/,,
HumanX 2026,"SF, CA",2026-04-06,,,https://humanx.co/become-a-speaker,https://humanx.co,,
AI Engineer Europe,"London, UK",2026-04-08,,,,https://www.ai.engineer/europe,"Yes. Generally, the who's who of AI attend AI Eng conf",Reached out to swyx abt CFP
Hannover Messe,"Hannover, DE",2026-04-20,,,,https://www.hannovermesse.de/en/,"For europe, this is THE manufacturing show.",
Evo Expo,"Reading, PA",2026-04-22,,,,https://theevoexpo.com/,,
AI Dev 26 x SF,"SF, CA",2026-04-28,,,,https://ai-dev.deeplearning.ai/,"No, low quality talks",Did a talk in AI Dev NYC. General talk quality at this event was rather low. 
ACM: Building the Future of Agentic & AI Systems ,"San Jose, CA",2026-05-26,,2026-03-06,https://www.caisconf.org/pages/workshops/,https://www.caisconf.org/,,Workshop submissions available
PG Data Conference 2026,Chicago,2026-06-04,,2026-01-05,https://sessionize.com/pg-data-2026,https://2026.pg-data.org/,,"Should submit a talk, not worth sponsoring probably"
AI Con USA,"Seattle, WA",2026-06-07,,,https://www.techwell.com/software-conferences/be-a-speaker,https://aiconusa.techwell.com/,,
Databricks Data + AI Summit,"SF, CA",2026-06-15,,2026-02-13,https://www.databricks.com/dataaisummit/call-for-presentations,https://www.databricks.com/dataaisummit,,
Kubecon NA,"Salt Lake City, UT",2026-11-09,2026-11-12,,,https://events.linuxfoundation.org/kubecon-cloudnativecon-north-america-2026/,,
Posette 2026,Virtual,2026-06-16,,2026-02-01,https://posetteconf.com/2026/cfp/,https://posetteconf.com/2026,,
Automate,"Chicago, IL",2026-06-22,,,,https://www.automateshow.com/,"Yes, these are the serious manufacturers that we should be targeting",
AI Engineer World's Fair,"SF, CA",2026-06-30,,,,https://www.ai.engineer/worldsfair,"Yes. Generally, the who's who of AI attend AI Eng conf",Reached out to swyx abt CFP
